MOBI;MOBIE;2243
EDPC;EDP Comercial;1250
GLPP;Galp Power;1170
HORZ;Powerdot, S.A;654
ATLA;Atlante Infra Portugal, S.A;487
GLPP;Galp Power OPC;403
KLCS;Kilometer Low Cost II Serviços, SA;329
TRUE;WOWPLUG;266
MAKS;Maksu;217
IBRD;Iberdrola Clientes Portugal, Unipessoal, Lda;169
EVCE;EVCE POWER, LDA. / MOBISMART;154
REPS;REPSOL PORTUGUESA LDA;153
HELX;Helexia II Energy Services, Lda.;151
PRIO;Prio.E Mobility Solutions, Lda;129
GLPG;Galp Gest;122
MLTR;Mobiletric, LDA;112
MOTA;Mota-Engil Renewing;89
FCTO;CHARGING TOGETHER, UNIPESSOAL LDA;74
EMEL;EMEL - Empresa Municipal de Mobilidade e Estacionamento de Lisboa, E.M., S.A.;55
FACT;FactorENERGIA;52
LOGI;uCharge;41
HORZ;Horizondistance, Unipessoal Lda;39
ECOI;Ecoinside - Soluções em Ecoeficiência e Sustentabilidade Lda;38
GLPG;Galpgeste;36
SEGM;SEGMA - Serviços de Engenharia Gestão e Manutenção Lda;30
PLUG;e-Plug, Lda;29
MOON;Siva - Sociedade de Importação de Veículos Automóveis;27
EVPW;EVpower, Charging Solutions Lda;26
HIGH;High Green Power, Unipessoal Lda.;24
EMAC;EMACOM - Telecomunicações da Madeira, Unipessoal, Lda;23
BLUE;Bluecharge, Lda;22
HEXA;HEXAGONAL OCEAN, LDA;22
LOUL;Loulé Concelho Global, EM;21
GENJ;Generation Journey Lda ;20
MLTR;Mobiletric;19
ENER;Enercom, Vasconcelos e Almeida engenharia, lda;17
CEPS;Cepsa Portuguesa Petroleos;16
VEIM;Veimonte Lda;15
DTEI;DTE, Instalacoes Especiais;14
GREE;GREEN CHARGE - MOBILIDADE ELÉTRICA, LDA;14
IONY;IONITY GmbH;12
EVIO;EVIO - Electrical Mobility;12
LUSI;LUSIADAENERGIA, S.A.;11
SEGM;Segma;10
CAPW;Capwatt Services;9
IMAG;Image4all - Eficiência Energética, Comunicação e Imagem;9
CSCP;Cascais Proxima;8
CABL;Cable Exanergia Portugal;8
CAPW;Capwatt Services, S.A.;7
CIRC;Circuitos Energy Solutions, Lda.;7
IMAG;Image 4 all – Eficiência Energética, Comunicação e Imagem,Lda;7
EVGR;Green Evolut, LDA;6
CARG;Cargga Inteligente;6
SEGM;SEGMA – Serviços de Engenharia Gestão e Manutenção Lda;5
GRCA;Grcapp, Unipessoal Lda;5
BELM;Bel Mobility;5
NRGS;Original Sunenergy, Lda;5
LOUL;Loulé Concelho Global;5
GASF;GASFOMENTO - Sistemas e Instalações de Gás, S.A.;5
CIRC;Circuitos de Inovação;5
GOLD;Gold Energy;4
NEUR;Neureifen - Electric Mobility, Lda;4
SOLX;SOLX;4
VISA;VISACASA - SERVIÇOS DE ASSISTÊNCIA E MANUTENÇÃO GLOBAL S.A.;4
IHOM;iHome Lda;3
INTV;Instavolt Portugal Lda.;3
FRTR;FRONTROW, LDA;3
ALFA;Alfa Energia;3
EMEL;EMEL;3
CMEL;CME;3
SCRZ;Município de Santa Cruz;3
VISA;VISACASA;3
SILV;Silver Ridge - Asset Management;2
CEVE;Cooperativa Elétrica de Vale d´Este;2
SDBR;SodiBraga - Supermercados Lda;2
SFAF;Superfafe- supermercados,lda;2
SGMR;Superguimarães - Supermercados,lda;2
HEXA;Hexagonal Ocean;2
EMOB;Emobtec - Tec. Mobilidade Elétrica, unipessoal Lda;2
PROP;PROPEL - PRODUTOS DE PETRÓLEO, LDA;2
WENE;WENEA SERVICES SPAIN S.L.;2
EPOC;EPOCH;2
PFTW;Plug Four the WorldLda;2
EZUR;Ezu Energia;2
MOBI;MOBI.E (sem operador);2
BINT;Bluint - Engenharia e Tecnologias Integradas, Unipessoal, Lda;2
GREE;Green Charge - Mobilidade Eletrica;2
ATLA;Atlante Infra Portugal S.A.;2
NRGS;NRG - Sistemas de Energia Renováveis, Lda.;2
ECOI;ECOINSIDE;2
PLUG;E-Plug, Lda;2
CEVE;CEVE - Cooperativa Eléctrica do Vale D’Este C.R.L.;2
KLCO;Atlante Infra Portugal;1
EZC3;EZ - CHARG3, Lda ;1
MEOE;MEO Energia - Comercialização de Energia, SA;1
ZUND;Grupo Easycharger, SL;1
PACO;PACORP, LDA;1
INVP;Intervilapraia;1
JHOR;JH Ornelas;1
MOBA;MOBI A - Mobilidade e Ambiente, Lda;1
VEIM;Veimonte – Comércio de Veículos de Montemor, Lda;1
GENJ;Generation Journey;1
FRIO;Distrifrio Supermercados, Lda;1
EMOB;Emobtec - Tecnologia para a mobilidade eléctrica, Lda.;1
ATLA;Atlante;1
MUVE;MUVEXT S.A.;1
ECOC;Ecochoice;1
BPPT;BP Portugal - Comércio de Combustíveis e Lubrificantes, S.A.;1
HUBJ;Hubject;1
CHRP;ChargePoint Network (Netherlands) B.V.;1
CHAR;Luso Raiden Unipessoal Lda;1
PLEN;PLENOENERGIA, S.A.;1
GEBI;EBI - INVESTIGAÇÃO E DESENVOLVIMENTO, LDA;1
ECOI;Ecoinside – Soluções em Ecoeficiência e Sustentabilidade Lda;1
ATLA;Atlante Infra Portugal S.a.;1
KLCS;Kilometer Low Cost II Serviços, S.A;1
SARE;Superareosa Supermercados, Lda;1
PTER;PETROTERMICA ENERGIA, S.A.;1
DOUR;Douromobe  - Comercializadora de Energia, S.A.;1
